Tempo de processamento (perf_counter): 478.7420 segundos

         125429 function calls (125051 primitive calls) in 478.754 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       17    0.000    0.000    0.000    0.000 _parser.py:231(__next)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        2    0.000    0.000    0.000    0.000 {built-in method _signal.pthread_sigmask}
       21    0.000    0.000    0.000    0.000 enum.py:92(_is_single_bit)
        1    0.000    0.000    0.000    0.000 context.py:245(set_start_method)
        8    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        1    0.000    0.000    0.000    0.000 spawn.py:36(set_executable)
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
        1    0.000    0.000    0.000    0.000 threading.py:389(notify_all)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        1    0.000    0.000    0.000    0.000 {built-in method posix.ftruncate}
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
       23    0.000    0.000    0.000    0.000 enum.py:801(<genexpr>)
        1    0.000    0.000    0.000    0.000 queues.py:337(SimpleQueue)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        3    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:386(normpath)
       11    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:663(SocketIO)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        2    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
        4    0.000    0.000    0.000    0.000 weakref.py:347(__new__)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        7    0.000    0.000    0.000    0.000 enum.py:809(__members__)
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:995(TemporaryDirectory)
