Tempo de processamento (perf_counter): 1.8002 segundos

         50234 function calls (49020 primitive calls) in 1.815 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
       33    0.000    0.000    0.000    0.000 enum.py:1041(_add_member_)
      976    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
      653    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      2/1    0.000    0.000    0.000    0.000 queues.py:173(_start_thread)
      604    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       45    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
      607    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      133    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
      925    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
        1    0.000    0.000    0.000    0.000 {built-in method _posixshmem.shm_unlink}
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:1(<module>)
      153    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
        6    0.000    0.000    0.000    0.000 util.py:257(__init__)
      415    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
        5    0.000    0.000    0.000    0.000 util.py:276(__call__)
       29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        5    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       14    0.000    0.000    0.000    0.000 enum.py:677(__call__)
        4    0.000    0.000    0.000    0.000 enum.py:1583(__or__)
        4    0.000    0.000    0.000    0.000 util.py:504(_flush_std_streams)
      604    0.000    0.000    0.000    0.000 connection.py:138(_check_closed)
        3    0.000    0.000    0.000    0.000 synchronize.py:123(_make_name)
      164    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
      604    0.000    0.000    0.000    0.000 connection.py:146(_check_writable)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:665(spec_from_loader)
        1    0.000    0.000    0.000    0.000 __init__.py:222(Strategy)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1449(path_hook_for_FileFinder)
      608    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       38    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      390    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        3    0.000    0.000    0.000    0.000 tempfile.py:154(__next__)
      607    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        3    0.000    0.000    0.000    0.000 enum.py:466(__prepare__)
        1    0.000    0.000    0.000    0.000 _streams.py:1(<module>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       89    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       14    0.000    0.000    0.000    0.000 enum.py:1146(__new__)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       53    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
